Date,Open,High,Low,Close,Adj Close,Volume
8/12/2024,"39,488.00","39,562.00","39,478.00",39.541.00,"39,541.00","3,933"
8/12/2024,"39,618.00","39,739.00","39,366.00","39,480.00","39,480.00","114,018"
8/9/2024,"39,610.00","39,770.00","39,355.00","39,640.00","39,640.00","114,018"
8/8/2024,"38,815.00","39,662.00","38,689.00","39,601.00","39,601.00","157,507"
8/7/2024,"38,815.00","38,878.00","38,762.00","38,905.00","38,905.00","142,292"
8/6/2024,"39,025.00","39,143.00","39,025.00","39,143.00","39,143.00","176,254"
8/5/2024,"39,017.00","39,107.00","38,988.00","38,848.00","38,848.00","242,089"
8/2/2024,"40,420.00","40,450.00","39,518.00","39,879.00","39,879.00","212,531"
8/1/2024,"40,420.00","40,450.00","40,393.00","40,514.00","40,514.00","215,461"
7/31/2024,"41,111.00","41,158.00","41,058.00","41,073.00","41,073.00","169,551"
7/30/2024,"40,781.00","40,859.00","40,754.00","40,959.00","40,959.00","13,693,400"
7/29/2024,"40,857.00","41,051.00","40,606.00","40,771.00","40,771.00","130,218"
7/26/2024,"40,245.00","40,995.00","40,233.00","40,831.00","40,831.00","155,670"
7/25/2024,"40,208.00","40,685.00","40,055.00","40,192.00","40,192.00","184,808"
7/24/2024,"40,575.00","40,583.00","40,053.00","40,110.00","40,110.00","152,717"
7/23/2024,"40,683.00","40,795.00","40,567.00","40,615.00","40,615.00","115,515"
7/22/2024,"40,602.00","40,747.00","40,488.00","40,693.00","40,693.00","139,016"
7/19/2024,"40,963.00","41,006.00","40,466.00","40,562.00","40,562.00","189,677"
7/18/2024,"41,538.00","41,672.00","40,886.00","40,958.00","40,958.00","205,758"
7/17/2024,"41,248.00","41,546.00","41,095.00","41,497.00","41,497.00","174,716"
7/16/2024,"40,548.00","41,299.00","40,457.00","41,255.00","41,255.00","166,127"
7/15/2024,"40,390.00","40,654.00","40,338.00","40,514.00","40,514.00","150,278"
7/12/2024,"40,121.00","40,572.00","40,021.00","40,301.00","40,301.00","150,766"
7/11/2024,"40,121.00","40,121.00","40,107.00","40,089.00","40,089.00","160,829"
7/10/2024,"40,013.00","40,016.00","40,000.00","40,049.00","40,049.00","121,614"
7/9/2024,"39,670.00","39,818.00","39,450.00","39,596.00","39,596.00","128,209"
7/8/2024,"39,670.00","39,670.00","39,663.00","39,650.00","39,650.00","125,692"
7/5/2024,39.643.00,"39,781.00","39,488.00","39,695.00","39,695.00","122,137"
7/3/2024,"39,662.00","39,763.00","39,568.00","39,636.00","39,636.00","83,475"
7/2/2024,"39,662.00","39,662.00","39,650.00","39,688.00","39,688.00","112,627"
7/1/2024,"39,498.00","39,506.00","39,495.00","39,511.00","39,511.00","147,942"
6/28/2024,"39,502.00","39,819.00","39,284.00","39,469.00","39,469.00","163,770"
6/27/2024,"39,502.00","39,505.00","39,490.00","39,550.00","39,550.00","111,391"
6/26/2024,"39,484.00","39,586.00","39,306.00","39,540.00","39,540.00","108,026"
6/25/2024,"39,849.00","39,928.00","39,393.00","39,526.00","39,526.00","138,524"
6/24/2024,"39,849.00","39,871.00","39,846.00","39,844.00","39,844.00","132,945"
6/21/2024,"39,160.00","39,261.95","39,051.00","39,261.95","39,261.95","120,696"
6/20/2024,"38,853.00","39,259.00","38,770.00","39,147.00","39,147.00","40,737"
6/18/2024,"38,853.00","38,853.00","38,839.00","38,859.00","38,859.00","50,457"
6/17/2024,"38,868.00","38,868.00","38,864.00","38,818.00","38,818.00","94,664"
6/14/2024,"38,646.00","38,674.00","38,306.00","38,605.00","38,605.00","144,263"
6/13/2024,"38,646.00","38,650.00","38,637.00","38,677.00","38,677.00","148,081"
6/12/2024,"38,773.00","39,193.00","38,658.00","38,752.00","38,752.00","192,813"
6/11/2024,"38,898.00","38,932.00","38,481.00","38,794.00","38,794.00","133,896"
6/10/2024,"38,852.00","38,945.00","38,719.00","38,929.00","38,929.00","107,468"
6/7/2024,"38,955.00","39,174.00","38,716.00","38,857.00","38,857.00","158,101"
6/6/2024,"38,884.00","39,092.00","38,808.00","38,955.00","38,955.00","148,118"
6/5/2024,"38,801.00","38,937.00","38,628.00","38,884.00","38,884.00","129,972"
6/4/2024,"38,666.00","38,878.00","38,425.00","38,787.00","38,787.00","128,438"
6/3/2024,"38,824.00","38,919.00","38,333.00","38,656.00","38,656.00","159,329"
5/31/2024,"38,225.00","38,858.00","38,139.00","38,791.00","38,791.00","162,087"
5/30/2024,"38,268.00","38,312.00","38,111.00","38,231.00","38,231.00","140,013"
5/29/2024,"38,920.00","38,920.00","38,221.00","38,524.00","38,524.00","131,272"
5/28/2024,"39,163.00","39,235.00","38,787.00","38,944.00","38,944.00","136,293"
5/24/2024,"39,143.00","39,315.00","39,105.00","39,157.00","39,157.00","108,398"
5/23/2024,"39,730.00","39,882.00","39,114.00","39,153.00","39,153.00","193,140"
5/22/2024,"39,992.00","40,033.00","39,668.00","39,783.00","39,783.00","125,631"
5/21/2024,"39,946.00","40,034.00","39,907.00","40,006.00","40,006.00","90,808"
5/20/2024,"40,133.00","40,213.00","39,919.00","39,944.00","39,944.00","107,155"
5/17/2024,"39,995.00","40,147.00","39,955.00","40,137.00","40,137.00","89,428"
5/16/2024,"40,016.00","40,191.00",39.979.00,"40,010,00","40,010.00","120,771"
5/15/2024,"39,680.00","40,063.00","39,652.00","40,039.00","40,039.00","103,687"
5/14/2024,"39,542.00","39,736.00","39,405.00","39,677.00","39,677.00","109,444"
5/13/2024,"39,620.00","39,781.00","39,519.00","39,559.00","39,559.00","85,734"
